nama_dosen,judul_penelitian,abstrak_penelitian,tahun_publikasi
"Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.",Enhancing Threat Hunting in Wazuh through a Hybrid Random Forest Model: A Comparative Study for Reducing MTTD and MTTR in Cybersecurity Operations,"The increasing sophistication of cyberattacks demands intelligent, adaptive Intrusion Detection Systems (IDSs) capable of rapid threat detection and response. This study proposes a Hybrid Random Forest (HRF) model integrated with the Wazuh platform to enhance threat hunting by reducing Mean Time to Detect (MTTD) and Mean Time to Respond (MTTR). The model is evaluated on two benchmark datasets, CSE-CIC-IDS2018 and ToN_IoT, using a methodology aligned with state-of-the-art approaches, including data preprocessing, Pearson Correlation Coefficient (PCC)-based feature selection, and Min-Max normalization. The results show high detection accuracies of 99.12% and 99.65% on the respective datasets, with significantly lower inference time compared to deep learning models. Integration with Wazuh enables real-time alerting and automated response, reducing MTTD and MTTR by up to 75% and 65%. A comparative analysis against a hybrid GRU-BiLSTM baseline reveals that while the HRF model achieves slightly lower accuracy on ToN_IoT, it outperforms it on CSE-CIC-IDS2018 and offers superior computational efficiency. This work presents a practical framework for deploying lightweight machine learning models in operational environments, demonstrating that ensemble methods like Random Forest are viable, interpretable, and operationally efficient alternatives to deep learning for proactive cybersecurity operations.",2026
"Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.",Implementasi Firewall Untuk Keamanan Dan Pencegahan Serangan Siber Di SMAI Kepanjen Kabupaten Malang,"The implementation of a firewall-based network security system has become increasingly important in maintaining data integrity and availability within educational institutions. The Community Service Program (PPM) conducted by Politeknik Negeri Malang aims to enhance the network security infrastructure at SMA Islam Kepanjen, Malang Regency, through the implementation of Wazuh as a cybersecurity solution. This approach includes the installation and configuration of network infrastructure, security audits, and training for IT staff on independent firewall management. The implementation methodology involves site surveys, network topology design, hardware and software installation, system testing, and technical mentoring. The outcomes achieved include increased awareness of cybersecurity issues and improved capacity of partner personnel in managing the network infrastructure. With the implementation of Wazuh, it is expected that SMA Islam Kepanjen will be able to proactively address cyber threats and serve as a model for information technology implementation in other schools across Malang Regency.",2025
"Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.",Investigations of Generative AI Applicability to Error Corrections in Map Information Collection Tool,"Currently, we are developing a map information collection tool to assist a pedestrian navigation system. It collects building names and room numbers using Optical Character Recognition (OCR), geolocation techniques, and web scraping to extract necessary data from websites. Unfortunately, collected data is often incomplete, unstructured, or outdated, which can reduce the overall accuracy and reliability. In this paper, we investigate the accuracy of collected data by this tool through comparisons with reference data obtained from Google Maps API, and the applicability of generative AI models in detecting and correcting errors. For evaluations, we examine classification-based metrics such as precision, recall, and F1-score to measure the consistency and correctness of the collected data.",2025
"Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.",Cyber Threat Detection and Automated Response Using Wazuh and Telegram API,"Cyber threats are becoming more widespread, notably those that use SSH to brute-force their way in or engage in Distributed Denial of Service attacks. These attacks can make networked systems very hard to reach, keep their data safe, and protect their privacy, especially for small and medium-sized organizations that can’t afford pricey professional security solutions. This research aims to develop an automated, cost-effective, and scalable cyber threat detection and response system for small and medium-sized organizations unable to afford commercial-grade security solutions. The methodology follows the structured Prepare, Plan, Design, Implement, Operate, Optimize lifecycle, leveraging open-source technologies, primarily the Wazuh Security Information and Event Management platform, augmented with custom detection rules and a Random Forest-based classification module to distinguish Normal, Brute Force, and Distributed Denial of Service traffic patterns. Experimental results demonstrate a Mean Time to Detect of 4.7 seconds for Brute Force and 7.3 seconds for Distributed Denial of Service, with a Mean Time to Respond of 8.2 seconds and under 10 seconds, respectively. The system achieved 98.4% detection accuracy and a 1.5% false positive rate across 100 controlled tests using THC Hydra and slowhttptest. Integration of Wazuh dashboard analytics with real-time Telegram alerts enhances situational awareness and enables prompt, automated incident response, validating open-source frameworks as viable defenses in resource-constrained environments",2025
"Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.",A Web Form Topic Implementation for PHP Web Programming Self-learning Support System,"Web programming with PHP has surged in popularity due to the growing demand for dynamic web applications, with PHP's versatility and ease of use making it a top choice for developers. The importance of learning web programming has also grown significantly, leading to the incorporation of web programming courses in universities, colleges, and professional schools, as well as the rise of self-learning systems and online platforms that democratize access to web programming education. The development of self-learning systems for PHP web programming has been driven by the demand for web programming skills, incorporating Test-Driven Development (TDD) methodology and automated testing tools to create a comprehensive and effective learning environment. Â This study outlines the development of a self-learning system designed to teach PHP programming with a focus on building and managing web forms, a crucial skill for aspiring developers. It includes six key learning outcomes, offering students theoretical content and test code for hands-on practice and immediate feedback, following Test-Driven Development principles. In an evaluation with 33 Informatics Engineering students, 87.9% successfully completed the four learning modules within two hours, with module completion times ranging from 2 to 48 minutes. The feedback was largely positive, highlighting clear instructions and comprehensive materials, alongside suggestions for improvements like file accessibility and better code examples, demonstrating the system's effectiveness in enhancing students' PHP web form development skills.",2025
"Deddy Kusbianto PA, Ir., M.Mkom.",Implementasi Sistem ERP Modul Pos Dan Manajemen Karyawan di KB/TK Alfath Malang,"Pengabdian masyarakat ini dilaksanakan untuk mengatasi berbagai permasalahan yang dihadapi oleh TK Alfath, khususnya dalam hal kebutuhan akan sistem Point of Sale (POS) dan modul employee untuk manajemen administrasi yang lebih baik. Melalui program ini, dilakukan pendampingan kepada guru KB/TK Alfath selaku pemegang proses kegiatan. Selain itu, program ini juga mengembangkan dan implementasi sistem POS serta modul employee. Integrasi antara  POS dan Employee memiliki potensi besar untuk memudahkan pengelolaan persediaan, pemesanan barang, dan manajemen sumber daya manusia. Integrasi antara POS dan Employee akan menciptakan sistem yang terpadu, memungkinkan pemantauan yang lebih akurat terhadap pemesanan produk yang dibutuhkan dan manajemen karyawan yang lebih efisien. Tujuan dari program ini adalah untuk meningkatkan kualitas manajemen serta meningkatkan efisiensi operasional sekolah. Hasil dari program ini diharapkan dapat memberikan kontribusi positif terhadap peningkatan kualitas pendidikan di TK Alfath serta membantu dalam mengatasi berbagai permasalahan yang dihadapi.",2024
"Deddy Kusbianto PA, Ir., M.Mkom.",Sistem Informasi Sekolah KB/TK Alfath Bunulrejo Malang  ,"Dalam meningkatkan penyampaian informasi sekolah calon wali murid saat ini masih kesulitan dalam mencari informasi terkait dengan perkembangan sekolah. Seiring dengan perkembangan teknologi informasi saat ini dibutuhkan sebuah sistem informasi berbasis website yang dapat menyediakan informasi terkait dengan data sekolah, siswa, guru dan pendaftaran. Dalam hal ini kegiatan pengabdian masyarakat meliputi kegiatan pembuatan sistem informasi akademik sekolah berbasis website yang menggunakan metode waterfall dengan beberapa macam fitur. Tahapan metode ini antara lain menggunakan analisis kebutuhan sistem, desain sistem, pembuatan sistem, pengujian sistem dan perbaikan. Hasil yang diperoleh dalam kegiatan masyarakat ini adalah sebuah sistem informasi akademik sekolah berbasis website dan dihosting yang dapat membantu para guru serta admin dan menyediakan informasi bagi calon siswa didik baru.  ",2022
"Deddy Kusbianto PA, Ir., M.Mkom.",Implementasi Metode Moora Pada Sistem Pendukung Keputusan Untuk Transfer Pemain Sepakbola Yang Tepat Bagi Sebuah Tim ,Sepak bola adalah olahraga yang banyak di gemari dan sudah menjadi ladang bisnis terutama dalam hal transfer pemain terkhusus di sepak bola eropa. Transfer pemain adalah salah satu proses yang sangat penting bagi tim sepak bola karena bisa memperbaiki prestasi   maupun di segi finansial tim sepak bola itu sendiri karena jika tim sepak bola gagal membeli pemain yang tepat sebuah tim akan merugi secara finansial yang cukup besar yaitu dari pembiayaan gaji dan biaya pembelian. Dalam kenyataannya Transfer pemain terkadang harus memakan waktu yang cukup lama tim pemandu bakat atau Scout tim sepak bola harus memantau setiap pemain incaran nya dalam waktu yang lama sehingga memerlukan biaya yang tidak sedikt. Dengan kemajuan teknologi saat ini pemilihan pemain sepak bola akan jadi lebih mudah pada penelitian ini dibuat sistem pendukung keputusan untuk membantu pembobotan kriteria dan perankingan pemain guna mencari pemain yang tepat dengan menggunakan metode MOORA yang memiliki tingkat selektifitas yang baik dalam menentukan tujuan dan kriteria berbeda. Dari hasil pengujian akurasi diperoleh sebesar 80% dari 10 pengujian dengan metode membandingkan dengan pendapat narasumber. Hasil tersebut menunjukkan efektifitas metode MOORA dalam mendukung keputusan untuk transfer pemain sepak bola. ,2021
"Deddy Kusbianto PA, Ir., M.Mkom.",Analisis Tingkat Kepuasan Pengguna Sistem Informasi Work Order Menggunakan Pieces Frameworks ,"Untuk mengetahui apakah sistem informasi Work Order Android berjalan sebagaimana mestinya, maka diperlukan proses evaluasi terhadap kinerja dari sistem informasi tersebut. Evaluasi sistem informasi dapat dilakukan dengan cara yang berbeda dan pada tingkatan yang berbeda, tergantung pada tujuan evaluasinya. Dalam melakukan kegiatan analisis dan evaluasi sistem informasi terdapat beberapa metode atau model analisis yang dapat digunakan salah satunya adalah model analisis PIECES Framework. Untuk mempermudah evaluasi, ditawarkan cara analisis dengan kerangka PIECES yang menguraikan ke dalam 6 fokus analisis kelemahan yaitu Performance, Information and Data, Economy, Control and Security, Eficiency dan Service. Tujuan penelitan ini untuk mengukur tingkat kepuasan mengetahui kekuatan dan kelemahan dan menganalisis komponen- komponen apa saja yang perlu ditingkatkan kualitas pelayanannya yang terdapat pada sistem informasi Work Order Android. Adapun data primer yang didapatkan berasal dari penyebaran kuesioner kepada 20 orang pengguna sistem informasi Work Order Android untuk mendapatkan tingkat kepentingan dan tingkat kepuasan pengguna. Hasil penelitian ini ditemukan bahwa Berdasarkan metode analisis PIECES didapatkan nilai tingkat kepuasan dari masing-masing domain yaitu domain Performance memperoleh skor 4,43, domain Information and Data memperoleh skor 4,5, domain Economics memperoleh skor 4,53, domain Control and Security memperoleh skor 4,3, domain Efficiency memperoleh skor 4,46 dan domain Service memperoleh skor 4,04. ",2021
"Deddy Kusbianto PA, Ir., M.Mkom.",Peramalan Kebutuhan Pemakaian Air Bersih Di PDAM Kota Malang Menggunakan Metode Least Square ,"Penelitian ini bertujuan untuk membuat sistem peramalan pada kebutuhan pemakaian air bersih untuk mengetahui jumlah kebutuhan pemakaian air bersih pada periode berikutnya. Objek penelitian ini adalah PDAM Kota Malang. Data yang dibutuhkan diambil dari laporan data pemakaian air bersih pada tahun 2017 – 2021. Metode pengumpulan data menggunakan teknik dokumentasi. Data yang telah terkumpul diolah dalam bentuk excel menggunakan metode analisis least square. Setelah itu diimplentasikan dalam sistem aplikasi peramalan kebutuhan pemakaian air bersih. Hasil yang didapatkan dari pengujian peramalan yang dilakukan pada tahun 2020 didapatkan hasil perhitungan nilai error MAPE sebesar 0,5% yang artinya penyimpangan hasil peramalan dengan kondisi aktual adalah sebesar 0,5%. Dimana nilai error yang di hasilkan tersebut telah memenuhi kriteria dengan kemampuan model peramalan sangat baik. ",2021
